,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
4249,12461,IDFC-BL,IDFC,,-1.0,1,,NSE,5.0
4250,19235,IMFA-EQ,IMFA,,-1.0,1,,NSE,5.0
4251,12714,RENUKA-BL,RENUKA,,-1.0,1,,NSE,5.0
4252,2077,685GA31-SG,685GA31,,-1.0,100,,NSE,1.0
4253,16734,ZEEL-P2,ZEEL,,-1.0,1,,NSE,5.0
4254,2167,364D100222-TB,364D100222,,-1.0,100,,NSE,1.0
4255,554,UTIAMC-BL,UTIAMC,,-1.0,1,,NSE,5.0
4256,18783,IDFNIFTYET-EQ,IDFNIFTYET,,-1.0,1,,NSE,1.0
4257,1343,SDBL-BL,SDBL,,-1.0,1,,NSE,5.0
4258,16716,UBL-BL,UBL,,-1.0,1,,NSE,5.0
4259,180,NHAI-N4,NHAI,,-1.0,1,,NSE,1.0
4260,17498,FICRF2GPD-MF,FICRF2GPD,,-1.0,1,,NSE,1.0
4261,24218,IVZINNIFTY-BL,IVZINNIFTY,,-1.0,1,,NSE,1.0
4262,13021,DHANILOANS-NP,DHANILOANS,,-1.0,1,,NSE,1.0
4263,3570,UCALFUEL-EQ,UCALFUEL,,-1.0,1,,NSE,5.0
4264,11487,KRIDHANINF-BL,KRIDHANINF,,-1.0,1,,NSE,5.0
4265,14321,TFL-BL,TFL,,-1.0,1,,NSE,5.0
4266,603,IRFC-NA,IRFC,,-1.0,1,,NSE,1.0
4267,5143,JAICORPLTD-EQ,JAICORPLTD,,-1.0,1,,NSE,5.0
4268,2489,ISEC-EQ,ISEC,,-1.0,1,,NSE,5.0
4269,18157,HATHWAY-BL,HATHWAY,,-1.0,1,,NSE,5.0
4270,12754,TEAMLEASE-BL,TEAMLEASE,,-1.0,1,,NSE,5.0
4271,12393,GIPCL-BL,GIPCL,,-1.0,1,,NSE,5.0
4272,21944,70MH28-SG,70MH28,,-1.0,100,,NSE,1.0
4273,7542,TREJHARA-BL,TREJHARA,,-1.0,1,,NSE,5.0
4274,10656,ICICI0202-NC,ICICI0202,,-1.0,1,,NSE,1.0
4275,17231,UFDMP24P14-MF,UFDMP24P14,,-1.0,1,,NSE,1.0
4276,19086,NETFIT-BL,NETFIT,,-1.0,1,,NSE,1.0
4277,12382,GDL-BL,GDL,,-1.0,1,,NSE,5.0
4278,21976,717MP29-SG,717MP29,,-1.0,100,,NSE,1.0
4279,3278,F135G-MF,F135G,,-1.0,1,,NSE,1.0
4280,30125,IBULHSGFIN-EQ,IBULHSGFIN,,-1.0,1,,NSE,5.0
4281,12697,RAJESHEXPO-BL,RAJESHEXPO,,-1.0,1,,NSE,5.0
4282,14413,PAGEIND-EQ,PAGEIND,,-1.0,1,,NSE,5.0
4283,17632,COMPINFO-EQ,COMPINFO,,-1.0,1,,NSE,5.0
4284,10243,SYNGENE-EQ,SYNGENE,,-1.0,1,,NSE,5.0
4285,2666,VERA-SM,VERA,,-1.0,1500,,NSE,5.0
4286,8027,726GS2029-GS,726GS2029,,-1.0,1,,NSE,1.0
4287,11065,NATHBIOGEN-EQ,NATHBIOGEN,,-1.0,1,,NSE,5.0
4288,4586,ABSLFTQQDQ-MF,ABSLFTQQDQ,,-1.0,1,,NSE,1.0
4289,21974,554MP21-SG,554MP21,,-1.0,100,,NSE,1.0
4290,2750,UTIDFP29P1-MF,UTIDFP29P1,,-1.0,1,,NSE,1.0
4291,342,CAMS-EQ,CAMS,,-1.0,1,,NSE,5.0
4292,1876,364D060122-TB,364D060122,,-1.0,100,,NSE,1.0
4293,3044,H1146D40DG-MF,H1146D40DG,,-1.0,1,,NSE,1.0
4294,12550,KRBL-BL,KRBL,,-1.0,1,,NSE,5.0
4295,12285,CARBORUNIV-BL,CARBORUNIV,,-1.0,1,,NSE,5.0
4296,1129,KEERTI-EQ,KEERTI,,-1.0,1,,NSE,5.0
4297,2623,HERANBA-BL,HERANBA,,-1.0,1,,NSE,5.0
4298,4433,HITECHGEAR-EQ,HITECHGEAR,,-1.0,1,,NSE,5.0
4299,4744,RPPL-SM,RPPL,,-1.0,1000,,NSE,5.0
4300,3059,EC3DD-MF,EC3DD,,-1.0,1,,NSE,1.0
4301,14485,THEMISMED-EQ,THEMISMED,,-1.0,1,,NSE,5.0
4302,6411,LAMBODHARA-BL,LAMBODHARA,,-1.0,1,,NSE,5.0
4303,16898,SFMP27GD-MF,SFMP27GD,,-1.0,1,,NSE,1.0
4304,25178,TDPOWERSYS-EQ,TDPOWERSYS,,-1.0,1,,NSE,5.0
4305,10094,UTDQP31P14-MF,UTDQP31P14,,-1.0,1,,NSE,1.0
4306,16642,KIRIINDUS-BL,KIRIINDUS,,-1.0,1,,NSE,5.0
4307,12798,SUPREMEIND-BL,SUPREMEIND,,-1.0,1,,NSE,5.0
4308,19223,TCIEXP-EQ,TCIEXP,,-1.0,1,,NSE,5.0
4309,4576,VIDEOIND-BZ,VIDEOIND,,-1.0,1,,NSE,5.0
4310,9412,UTDAP31P11-MF,UTDAP31P11,,-1.0,1,,NSE,1.0
4311,12916,SRTRANSFIN-Z4,SRTRANSFIN,,-1.0,1,,NSE,1.0
4312,9674,L&TFINANCE-NV,L&TFINANCE,,-1.0,1,,NSE,1.0
4313,1085,GABRIEL-EQ,GABRIEL,,-1.0,1,,NSE,5.0
4314,11313,BALAXI-BL,BALAXI,,-1.0,1,,NSE,5.0
4315,17644,SUNTECK-BL,SUNTECK,,-1.0,1,,NSE,5.0
4316,15177,TRIL-BL,TRIL,,-1.0,1,,NSE,5.0
4317,18962,RAJRATAN-EQ,RAJRATAN,,-1.0,1,,NSE,5.0
4318,4242,IMFFM32CRG-MF,IMFFM32CRG,,-1.0,1,,NSE,1.0
4319,14732,DLF-EQ,DLF,,-1.0,1,,NSE,5.0
4320,3787,WIPRO-EQ,WIPRO,,-1.0,1,,NSE,5.0
4321,22304,652TS50-SG,652TS50,,-1.0,100,,NSE,1.0
4322,29951,UDQIPIGIII-MF,UDQIPIGIII,,-1.0,1,,NSE,1.0
4323,11016,UTIDQP32P2-MF,UTIDQP32P2,,-1.0,1,,NSE,1.0
4324,4228,ABSLFTQPDG-MF,ABSLFTQPDG,,-1.0,1,,NSE,1.0
4325,9010,H1146D43DQ-MF,H1146D43DQ,,-1.0,1,,NSE,1.0
4326,3002,WONDERLA-EQ,WONDERLA,,-1.0,1,,NSE,5.0
4327,18064,BPF02IGG-MF,BPF02IGG,,-1.0,1,,NSE,1.0
4328,3131,ABSLFTPUDQ-MF,ABSLFTPUDQ,,-1.0,1,,NSE,1.0
4329,7302,UTRQP30P15-MF,UTRQP30P15,,-1.0,1,,NSE,1.0
4330,29323,IRFC-N4,IRFC,,-1.0,1,,NSE,1.0
4331,22385,SGBAUG28V-GB,SGBAUG28V,,-1.0,1,,NSE,1.0
4332,10738,OFSS-EQ,OFSS,,-1.0,1,,NSE,5.0
4333,18110,VASCONEQ-EQ,VASCONEQ,,-1.0,1,,NSE,5.0
4334,12435,HERITGFOOD-BL,HERITGFOOD,,-1.0,1,,NSE,5.0
4335,14329,SMSPHARMA-EQ,SMSPHARMA,,-1.0,1,,NSE,5.0
4336,21641,475HR22-SG,475HR22,,-1.0,100,,NSE,1.0
4337,997,659UP30-SG,659UP30,,-1.0,100,,NSE,1.0
4338,9517,SFMP1DR-MF,SFMP1DR,,-1.0,1,,NSE,1.0
4339,8043,FIFMPS5DDD-MF,FIFMPS5DDD,,-1.0,1,,NSE,1.0
4340,14547,NXTDIGITAL-EQ,NXTDIGITAL,,-1.0,1,,NSE,5.0
4341,4970,H1381D42RD-MF,H1381D42RD,,-1.0,1,,NSE,1.0
4342,1162,GTL-EQ,GTL,,-1.0,1,,NSE,5.0
4343,10245,SYNGENE-BL,SYNGENE,,-1.0,1,,NSE,5.0
4344,1830,658GA31-SG,658GA31,,-1.0,100,,NSE,1.0
4345,2923,UTIRQP29P2-MF,UTIRQP29P2,,-1.0,1,,NSE,1.0
4346,20910,A2ZINFRA-BE,A2ZINFRA,,-1.0,1,,NSE,5.0
4347,3237,JTEKTINDIA-EQ,JTEKTINDIA,,-1.0,1,,NSE,5.0
4348,12276,BRITANNIA-BL,BRITANNIA,,-1.0,1,,NSE,5.0
4349,13654,ALICON-BL,ALICON,,-1.0,1,,NSE,5.0
4350,17906,ABBOTINDIA-BL,ABBOTINDIA,,-1.0,1,,NSE,5.0
4351,12744,VEDL-BL,VEDL,,-1.0,1,,NSE,5.0
4352,3166,SFMP42GR-MF,SFMP42GR,,-1.0,1,,NSE,1.0
4353,6272,UTIDGR30P9-MF,UTIDGR30P9,,-1.0,1,,NSE,1.0
4354,4577,ABSLFTQQRG-MF,ABSLFTQQRG,,-1.0,1,,NSE,1.0
4355,971,535CG25-SG,535CG25,,-1.0,100,,NSE,1.0
4356,3970,H1122D41RD-MF,H1122D41RD,,-1.0,1,,NSE,1.0
